,FSU,Schedule,Survey Year,Sector,NSS-region,State,District,Stratum,Sub-stratum,Sub round,FOD sub region,Sample HHID,Level,Filler,HH size,Religion,Social group,Land Own,Monthly HH expenses A,Impute Home grown B,Wages in Kind C,HH durable spent D,Usual monthly expenses - ABCD,Cooking energy,lighting energy,Washing clothes,Sweeping floor,Dwelling structure,Care giver,NSC,Multiplier
823,TUS21469,106,2019,2,13,1,8,02,01,3,0122,08,3,0,7,2,9,3,40000,600,0,6000,41100,2,1,2,2,3,0,003,0000055505
824,TUS21469,106,2019,2,13,1,8,02,01,3,0122,09,3,0,4,2,9,5,14200,600,0,3500,15092,2,1,1,2,3,0,003,0000055505
825,TUS21469,106,2019,2,13,1,8,02,01,3,0122,10,3,0,9,2,9,3,25000,300,0,24000,27300,2,1,2,2,3,0,003,0000055505
826,TUS21469,106,2019,2,13,1,8,02,01,3,0122,11,3,0,6,2,9,5,30700,1200,0,12000,32900,2,1,2,2,3,0,003,0000055505
827,TUS21469,106,2019,2,13,1,8,02,01,3,0122,12,3,0,5,2,9,6,30000,1200,0,15500,32492,2,1,1,2,3,0,003,0000055505
828,TUS21469,106,2019,2,13,1,8,02,01,3,0122,13,3,0,7,2,9,4,18400,200,2520,23500,23078,2,1,1,2,3,0,003,0000055505
829,TUS21469,106,2019,2,13,1,8,02,01,3,0122,14,3,0,4,2,9,5,14000,200,0,18000,15700,2,1,2,2,3,0,003,0000055505
830,TUS21481,106,2019,2,13,1,10,03,01,3,0120,01,3,0,2,2,9,1,9500,0,500,0,10000,2,1,1,2,3,0,003,0000126079
831,TUS21481,106,2019,2,13,1,10,03,01,3,0120,02,3,0,4,2,9,1,26000,0,6000,0,32000,2,1,1,2,3,0,003,0000126079
832,TUS21481,106,2019,2,13,1,10,03,01,3,0120,03,3,0,3,2,9,1,22000,0,2000,0,24000,2,1,1,2,3,0,003,0000126079
833,TUS21481,106,2019,2,13,1,10,03,01,3,0120,04,3,0,4,2,9,2,21000,0,2900,0,23900,2,1,1,2,3,0,003,0000126079
