,FSU,Sector,State,NSS-region,District,Stratum,Sub-stratum,Sample HHID,PersonID,Serial no of Activity,Time from,Time to,Multi-activity,Simul-activity,Major-activity,Activity code,Where,Paid-unpaid,Type of enterprise,NSC
51032,20124,2,01,011,07,02,01,03,003,011,14:00,16:00,2,0,1,912,1,01,0,000
51033,20124,2,01,011,07,02,01,03,003,012,16:00,16:30,2,0,1,931,1,01,0,000
51034,20124,2,01,011,07,02,01,03,003,013,16:30,17:00,2,0,1,719,1,01,0,000
51035,20124,2,01,011,07,02,01,03,003,014,17:00,18:00,1,2,1,312,1,03,0,000
51036,20124,2,01,011,07,02,01,03,003,015,17:00,18:00,0,0,2,922,1,01,0,000
51037,20124,2,01,011,07,02,01,03,003,016,17:00,18:00,0,0,2,842,1,01,0,000
51038,20124,2,01,011,07,02,01,03,003,017,18:00,20:00,2,0,1,620,1,01,0,000
51039,20124,2,01,011,07,02,01,03,003,018,20:00,21:00,1,1,1,921,1,01,0,000
51040,20124,2,01,011,07,02,01,03,003,019,20:00,21:00,0,0,2,711,1,01,0,000
51041,20124,2,01,011,07,02,01,03,003,020,21:00,22:00,2,0,1,719,1,01,0,000
51042,20124,2,01,011,07,02,01,03,003,021,22:00,04:00,2,0,1,911,1,01,0,000
51043,20124,2,01,011,07,02,01,03,004,001,04:00,06:00,2,0,1,911,1,01,0,000
51044,20124,2,01,011,07,02,01,03,004,002,06:00,07:00,2,0,1,931,1,01,0,000
51045,20124,2,01,011,07,02,01,03,004,003,07:00,08:00,1,2,1,921,1,01,0,000
51046,20124,2,01,011,07,02,01,03,004,004,07:00,08:00,0,0,2,719,1,01,0,000
51047,20124,2,01,011,07,02,01,03,004,005,08:00,09:00,2,0,1,841,1,01,0,000
51048,20124,2,01,011,07,02,01,03,004,006,09:00,11:00,1,1,1,850,1,01,0,000
51049,20124,2,01,011,07,02,01,03,004,007,09:00,11:00,0,0,2,842,1,01,0,000
51050,20124,2,01,011,07,02,01,03,004,008,11:00,13:00,1,2,1,313,1,03,0,000
51051,20124,2,01,011,07,02,01,03,004,009,11:00,13:00,0,0,2,719,1,01,0,000
51052,20124,2,01,011,07,02,01,03,004,010,13:00,14:00,1,1,1,921,1,01,0,000
51053,20124,2,01,011,07,02,01,03,004,011,13:00,14:00,0,0,2,842,1,01,0,000
51054,20124,2,01,011,07,02,01,03,004,012,14:00,16:00,2,0,1,912,1,01,0,000
51055,20124,2,01,011,07,02,01,03,004,013,16:00,16:30,2,0,1,931,1,01,0,000
